"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.103046333E0,4.530262202E-3,-7.521732710E-3,1.424298901E-2
1.112976333E0,1.924316213E-2,2.931707306E-3,-2.263513207E-2
1.122906458E0,2.140500024E-2,1.253889501E-2,-4.999678582E-2
1.132836458E0,4.408439621E-3,2.267994545E-2,-6.071600690E-2
1.142767458E0,-8.622990921E-3,2.518818155E-2,-4.470754415E-2
1.152697458E0,-2.355666645E-2,3.202132136E-2,-2.265071124E-2
1.162627458E0,-3.180750459E-2,3.119050898E-2,-8.408793248E-3
1.172557458E0,-3.446054831E-2,2.263643593E-2,-1.285840292E-2
1.182488458E0,-2.918693796E-2,1.480268780E-2,-2.557054907E-2
1.192418458E0,-2.212929353E-2,1.819289103E-2,-4.459084198E-2
1.202348458E0,-1.806818694E-2,1.599757560E-2,-6.743990630E-2
1.212278458E0,-1.472751796E-2,5.739078857E-3,-8.229687810E-2
1.222209458E0,-1.232773066E-2,-7.054434158E-3,-8.551961929E-2
1.232139458E0,-6.317774765E-3,-1.617469639E-2,-7.945560664E-2
1.242069458E0,-2.070000162E-3,-2.183925360E-2,-7.293738425E-2
1.251999458E0,1.495706150E-3,-2.226216346E-2,-6.580597162E-2
1.261930458E0,5.896180868E-3,-2.423412725E-2,-5.007494986E-2
1.271860458E0,6.498588249E-3,-3.084116429E-2,-2.129789442E-2
1.281790458E0,1.388726104E-2,-3.240278736E-2,6.891745143E-4
1.291720458E0,1.559274923E-2,-2.480612323E-2,1.226939820E-2
1.301651458E0,1.554629393E-2,-9.233986028E-3,1.724650897E-2
1.311581458E0,1.671914943E-2,1.404896565E-2,1.363579556E-2
1.321511458E0,7.285335101E-3,3.011511080E-2,4.838972352E-3
1.331442458E0,-6.387333386E-3,4.357606173E-2,-9.583908133E-3
1.341372458E0,-2.572594211E-2,4.029054567E-2,-2.904070541E-2
1.351302458E0,-4.326605797E-2,3.181796521E-2,-4.728069529E-2
1.361232458E0,-4.760155082E-2,1.186572015E-2,-5.242884904E-2
