"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.320295792E0,3.020718384E-1,1.527124329E0,9.561067657E0
1.330226792E0,3.378474426E-1,1.630409546E0,9.678872681E0
1.340158792E0,3.462300110E-1,1.663640442E0,9.804311829E0
1.350089792E0,3.829037476E-1,1.669478302E0,9.861492920E0
1.360021792E0,4.490661621E-1,1.597328339E0,9.832602997E0
1.369952792E0,5.242098999E-1,1.481618958E0,9.771080933E0
1.379883792E0,5.752537537E-1,1.379830627E0,9.751471710E0
1.389815792E0,5.415737915E-1,1.306932220E0,9.732461243E0
1.399746792E0,4.915777588E-1,1.328786774E0,9.738299103E0
1.409678792E0,4.405339050E-1,1.390009460E0,9.731563110E0
1.419609792E0,3.604504395E-1,1.458417206E0,9.746082916E0
1.429541792E0,3.426374817E-1,1.513951721E0,9.837542725E0
1.439472792E0,3.553610229E-1,1.571132813E0,9.949509888E0
1.449403792E0,3.927832031E-1,1.579515381E0,9.930948486E0
1.459335792E0,4.787045288E-1,1.534608765E0,9.832453308E0
1.469266792E0,5.481600952E-1,1.456620941E0,9.735155640E0
1.479198792E0,5.587879944E-1,1.424886932E0,9.692344666E0
1.489129792E0,5.063969421E-1,1.473685455E0,9.663903809E0
1.499061792E0,4.430786133E-1,1.548380127E0,9.641300812E0
1.508992792E0,4.269122314E-1,1.579515381E0,9.619446259E0
1.518923792E0,4.320016479E-1,1.529070282E0,9.520801392E0
1.528855792E0,4.355941772E-1,1.468446350E0,9.497599640E0
1.538786792E0,3.926335144E-1,1.431173859E0,9.627080383E0
1.548718792E0,3.360511780E-1,1.449585571E0,9.784103851E0
1.558649792E0,3.177891541E-1,1.485510864E0,9.862241364E0
1.568581792E0,4.132905579E-1,1.523831177E0,9.883796539E0
1.578512792E0,5.385800171E-1,1.531165924E0,9.879006500E0
1.588444792E0,5.839356995E-1,1.506616974E0,9.788893890E0
1.598375792E0,5.634283447E-1,1.532363434E0,9.673184509E0
1.608306792E0,5.197192383E-1,1.571881256E0,9.535620575E0
1.618238792E0,4.478686523E-1,1.554367676E0,9.349557495E0
1.628169792E0,3.495231628E-1,1.569785614E0,9.238189087E0
1.638101792E0,2.472857666E-1,1.598974915E0,9.216184845E0
1.648032792E0,1.556762695E-1,1.603166199E0,9.260343018E0
1.657964792E0,1.362167358E-1,1.576970673E0,9.340426483E0
1.667895792E0,2.047741699E-1,1.540296936E0,9.416767731E0
1.677826792E0,3.287164307E-1,1.519939270E0,9.507030029E0
1.687758792E0,4.394860840E-1,1.520837402E0,9.589957581E0
1.697689792E0,5.128335571E-1,1.550775146E0,9.672286377E0
1.707621792E0,5.134323120E-1,1.599274292E0,9.735604706E0
1.717552792E0,4.977149963E-1,1.648521881E0,9.791887665E0
1.727484792E0,4.543052673E-1,1.660347290E0,9.820777588E0
1.737415792E0,4.010160828E-1,1.629810791E0,9.837991791E0
1.747346792E0,3.727249146E-1,1.567390594E0,9.880353699E0
1.757278792E0,3.493734741E-1,1.529669037E0,9.903106384E0
1.767209792E0,3.516188049E-1,1.516945496E0,9.887987823E0
1.777141792E0,3.861968994E-1,1.500928802E0,9.828711090E0
1.787072792E0,3.820056152E-1,1.511856079E0,9.779762878E0
1.797004792E0,3.252735901E-1,1.572030945E0,9.677226105E0
1.806935792E0,2.709365845E-1,1.617835693E0,9.519753571E0
1.816867792E0,2.285746765E-1,1.666185150E0,9.402696991E0
1.826798792E0,1.999841309E-1,1.718127136E0,9.354796600E0
1.836729792E0,1.571731567E-1,1.744472351E0,9.356443176E0
1.846661792E0,9.535171509E-2,1.741179199E0,9.391470337E0
1.856592792E0,9.714797974E-2,1.704206085E0,9.481582947E0
1.866524792E0,1.320254517E-1,1.644180908E0,9.591005402E0
1.876455792E0,2.076182556E-1,1.601819000E0,9.675280151E0
1.886387792E0,2.689906311E-1,1.563947754E0,9.754764862E0
1.896318833E0,2.935395813E-1,1.538051605E0,9.842781830E0
1.906249833E0,2.845582581E-1,1.538201294E0,9.865384827E0
1.916181833E0,2.498304749E-1,1.565893707E0,9.868079224E0
1.926112833E0,2.502795410E-1,1.572779388E0,9.862391052E0
1.936044833E0,2.649490356E-1,1.561552734E0,9.833351440E0
1.945975833E0,2.902464294E-1,1.555265808E0,9.747280426E0
1.955907833E0,3.370989990E-1,1.554217987E0,9.586514740E0
1.965838833E0,3.730242920E-1,1.586101685E0,9.473799133E0
1.975769833E0,3.540138245E-1,1.644330597E0,9.397308197E0
1.985701833E0,2.968327332E-1,1.730551300E0,9.383836212E0
1.995632833E0,2.661465454E-1,1.770817566E0,9.406289520E0
2.005564833E0,2.553689575E-1,1.743723907E0,9.435778198E0
2.015495833E0,2.643502808E-1,1.675914917E0,9.467362518E0
2.025427833E0,2.863545227E-1,1.648222504E0,9.508975983E0
