"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.392288750E0,-9.157955933E-1,3.408112793E0,9.153465271E0
2.402219750E0,-9.190887451E-1,3.422183533E0,9.131610718E0
2.412151750E0,-9.169931030E-1,3.423530731E0,9.111851807E0
2.422082750E0,-8.657995605E-1,3.453318787E0,9.129964142E0
2.432013750E0,-8.325686646E-1,3.451672211E0,9.142088928E0
2.441945750E0,-8.470884705E-1,3.393742676E0,9.114695892E0
2.451876750E0,-9.192384338E-1,3.366798706E0,9.116342468E0
2.461807750E0,-9.779164124E-1,3.365301819E0,9.131161652E0
2.471739750E0,-9.598040771E-1,3.391197968E0,9.137149200E0
2.481670750E0,-8.909472656E-1,3.421584778E0,9.157955933E0
2.491602250E0,-8.235873413E-1,3.438948669E0,9.184301147E0
2.501534250E0,-7.905061340E-1,3.429218903E0,9.188193054E0
2.511465250E0,-7.797285461E-1,3.435805206E0,9.190438385E0
2.521396250E0,-7.914042664E-1,3.447331238E0,9.169631653E0
2.531328250E0,-8.316705322E-1,3.409010925E0,9.134754181E0
2.541259250E0,-8.702902222E-1,3.378324738E0,9.119336243E0
2.551191250E0,-9.258247375E-1,3.381019135E0,9.154064026E0
2.561122250E0,-9.409432983E-1,3.374283142E0,9.199868774E0
2.571053250E0,-9.080117798E-1,3.384012909E0,9.222621460E0
2.580985250E0,-9.063652039E-1,3.338956604E0,9.216933289E0
2.590916250E0,-9.252259827E-1,3.300037537E0,9.221573639E0
2.600847250E0,-9.403445435E-1,3.270848236E0,9.219477997E0
2.610779250E0,-9.232800293E-1,3.292553101E0,9.245374146E0
2.620710250E0,-8.783734131E-1,3.331621857E0,9.255852356E0
2.630641250E0,-8.511300659E-1,3.360661469E0,9.256002045E0
2.640573250E0,-8.710386658E-1,3.355721741E0,9.232949982E0
2.650504250E0,-9.048683167E-1,3.336860962E0,9.189091187E0
2.660435250E0,-9.289682007E-1,3.320844269E0,9.145831146E0
2.670367250E0,-9.425898743E-1,3.289110260E0,9.085506592E0
2.680298250E0,-9.388476562E-1,3.276985474E0,9.048832855E0
2.690229250E0,-9.172924805E-1,3.299438782E0,9.040599976E0
2.700161250E0,-9.107061768E-1,3.343147888E0,9.051377563E0
2.710092250E0,-9.138496399E-1,3.357518005E0,9.087153168E0
2.720023250E0,-9.038204956E-1,3.347039795E0,9.119485931E0
2.729955250E0,-9.012757874E-1,3.312611389E0,9.116192780E0
2.739886250E0,-9.145980835E-1,3.286864929E0,9.110654297E0
2.749818250E0,-9.514215088E-1,3.284020844E0,9.096882935E0
2.759749250E0,-9.580078125E-1,3.294199677E0,9.140592041E0
2.769680250E0,-9.276210022E-1,3.293451233E0,9.180708618E0
2.779612250E0,-9.283694458E-1,3.272644501E0,9.177864532E0
2.789543250E0,-9.431886292E-1,3.261417847E0,9.173822937E0
2.799474250E0,-9.654922485E-1,3.265609131E0,9.178612976E0
2.809406250E0,-9.592053223E-1,3.282673645E0,9.210646362E0
2.819337250E0,-9.295669556E-1,3.302432556E0,9.252259827E0
2.829268250E0,-9.117539978E-1,3.276536407E0,9.261390839E0
